"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"R_0805_2012Metric";2;"R_0805_2012Metric";;;
2;"REF**";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
3;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
4;"REF**";"ESD-Logo_6.6x6mm_SilkScreen";1;"ESD-Logo_6.6x6mm_SilkScreen";;;
5;"REF**";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
6;"CONN1";"PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal";1;"100-240Vac";;;
7;"CONN2";"PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal";1;"12V/0.85A";;;
8;"H1,H2,H3,H4";"MountingHole_2.7mm_M2.5_Pad_Via";4;"M2.5";;;
9;"C1";"C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3";1;"0.047uF";;;
10;"D1";"Diode_Bridge_Vishay_GBU";1;"GBU4K-E3/51";;;
11;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"1AT/250V";;;
12;"L1";"L_CommonMode_Wuerth_WE-CMB-NC";1;"2x35mH";;;
13;"R1";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";1;"5ohm/1W";;;
14;"T1";"CVP_32-001";1;"CVP_32-001";;;
15;"U1";"DIP-8_W7.62mm";1;"VIPer22ADIP-E";;;
16;"U2";"DIP-4_W7.62mm";1;"LTV-817";;;
17;"C2";"CP_Radial_D10.0mm_P5.00mm_P7.50mm";1;"10uF/400V";;;
18;"C3";"CP_Radial_D12.5mm_P5.00mm";1;"22uF/400V";;;
19;"D2";"D_DO-35_SOD27_P10.16mm_Horizontal";1;"1N4148";;;
20;"R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"2K/0.5W";;;
21;"C4";"C_Disc_D7.5mm_W5.0mm_P5.00mm";1;"100pF/1KV";;;
22;"C5";"CP_Radial_D6.3mm_P2.50mm";1;"22uF/25V";;;
23;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"9.09K";;;
24;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"68.1";;;
25;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"475";;;
26;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"DNP";;;
27;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"13.3K";;;
28;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3.48K";;;
29;"U3";"TO-92_Inline_Wide";1;"TL431";;;
30;"C6";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"10nF/50V";;;
31;"D3";"D_DO-201AD_P15.24mm_Horizontal";1;"BYW98-200";;;
32;"C8";"CP_Radial_D12.5mm_P5.00mm";1;"1500uF/25V";;;
33;"C9";"CP_Radial_D10.0mm_P2.50mm_P5.00mm";1;"100uF/25V";;;
34;"L2";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";1;"10uH";;;
35;"C10";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.01uF";;;
36;"C7";"C_Disc_D16.0mm_W5.0mm_P10.00mm";1;"4.7nF/760V";;;
