Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL
,,,,,,,,,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key
1,R46KI24700001K,KEMET,R46KI24700001K,https://octopart.com/r46ki24700001k-kemet-12559739,C1,R46KI24700001K,Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,1,399-R46KI24700001K-ND,Bulk,0.36520258,5688,1,https://octopart.com/click/track?ai=8237&sig=01b9a16&sid=459&ppid=12559739&vpid=605161243&ct=offers
1,K103K15X7RF5TL2,Vishay,K103K15X7RF5TL2,https://octopart.com/k103k15x7rf5tl2-vishay-39474934,C10,K103K15X7RF5TL2,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,1,BC1078CT-ND,Cut Tape,0.21377712,45920,1,https://octopart.com/click/track?ai=8237&sig=0804bfa&sid=459&ppid=39474934&vpid=1694233&ct=offers
1,UCY2G100MPD,Nichicon,UCY2G100MPD,https://octopart.com/ucy2g100mpd-nichicon-7991513,C2,UCY2G100MPD,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm,1,493-13387-ND,Bulk,0.73040516,40426,1,https://octopart.com/click/track?ai=8237&sig=0ee4a29&sid=459&ppid=7991513&vpid=88033790&ct=offers
1,UCS2G220MHD,Nichicon,UCS2G220MHD,https://octopart.com/ucs2g220mhd-nichicon-11540981,C3,UCS2G220MHD,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,493-5875-ND,Bulk,0.83729372,2961,1,https://octopart.com/click/track?ai=8237&sig=0bf64cb&sid=459&ppid=11540981&vpid=50631394&ct=offers
1,F101K25Y5RN63K5R,Vishay,F101K25Y5RN63K5R,https://octopart.com/f101k25y5rn63k5r-vishay-44026490,C4,F101K25Y5RN63K5R,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm,1,1235PH-ND,Bulk,0.24940664,67941,1,https://octopart.com/click/track?ai=8237&sig=0ead68a&sid=459&ppid=44026490&vpid=34306489&ct=offers
1,EEA-GA1E220H,Panasonic,EEA-GA1E220H,https://octopart.com/eea-ga1e220h-panasonic-19501120,C5,EEA-GA1E220H,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,1,P15803CT-ND,Cut Tape,0.24049926,7724,1,https://octopart.com/click/track?ai=8237&sig=0429391&sid=459&ppid=19501120&vpid=66175248&ct=offers
1,SMR5103J50J01L16.5CBULK,KEMET,SMR5103J50J01L16.5CBULK,https://octopart.com/smr5103j50j01l16.5cbulk-kemet-67202197,C6,SMR5103J50J01L16.5CBULK,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,399-13040-ND,Bulk,0.58788708,1299,1,https://octopart.com/click/track?ai=8237&sig=0cbe34e&sid=459&ppid=67202197&vpid=241324440&ct=offers
1,VY1472M63Y5UQ63V0,Vishay,VY1472M63Y5UQ63V0,https://octopart.com/vy1472m63y5uq63v0-vishay-39696514,C7,VY1472M63Y5UQ63V0,Capacitor_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm,1,BC2379-ND,Bulk,0.63242398,153082,1,https://octopart.com/click/track?ai=8237&sig=048e334&sid=459&ppid=39696514&vpid=34313824&ct=offers
1,EEU-FM1E152,Panasonic,EEU-FM1E152,https://octopart.com/eeu-fm1e152-panasonic-39479289,C8,EEU-FM1E152,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,P12380-ND,Bulk,0.85510848,20508,1,https://octopart.com/click/track?ai=8237&sig=06850ad&sid=459&ppid=39479289&vpid=115124725&ct=offers
